"track.id","track.name","track.popularity","track.album.release_date","track.duration_ms","track.explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","key_name","mode_name","key_mode","time_signature","genre","color"
"0uVxg9G8CwOt5n616PyNHr","Sublimity",34,"2024-03-22",211451,FALSE,0.496,0.964,5,-6.734,0,0.0425,0.000232,0.914,0.0646,0.0458,124.031,"F","minor","F minor",4,"Trance","#A6761D"
"6DP833uQTkOYKG0cv2pTlk","Amnesia",34,"2023-06-23",158769,FALSE,0.609,0.9,10,-4.495,0,0.0549,0.0869,0.324,0.269,0.414,130.018,"A#","minor","A# minor",4,"Trance","#A6761D"
"5egP6yTdSchQ4gRrC7kKr9","Till We Fade",34,"2023-10-20",193152,FALSE,0.51,0.883,7,-7.13,1,0.0462,0.0152,0.101,0.178,0.074,125.989,"G","major","G major",4,"Trance","#A6761D"
"37VTqZNklXxzXdbOqeC9HC","Artemis",34,"2023-07-14",246956,FALSE,0.448,0.988,10,-6.687,0,0.0444,0.00805,0.875,0.739,0.509,137.987,"A#","minor","A# minor",4,"Trance","#A6761D"
"34oMEfdZky9etr51GYBCQf","Love My Way - Craig Connelly Remix",34,"2023-06-02",277173,FALSE,0.531,0.957,0,-4.763,0,0.0473,0.00244,0.168,0.275,0.0689,138.04,"C","minor","C minor",4,"Trance","#A6761D"
"5vRS7k3p0DVlJiIct0hki8","Magnificent",34,"2023-10-13",201739,FALSE,0.353,0.987,3,-7.113,1,0.0552,0.000236,0.882,0.371,0.196,138.008,"D#","major","D# major",4,"Trance","#A6761D"
"0sKJQ38BIstZUFXihXB4rU","Confession",34,"2023-08-04",167082,FALSE,0.489,0.83,7,-5.097,0,0.0385,0.000167,6.53e-05,0.28,0.0866,130.026,"G","minor","G minor",4,"Trance","#A6761D"
"0cfhLq3j4vLMDWrS6xII9N","Everytime - Ciaran McAuley Remix",34,"2023-09-08",200888,FALSE,0.487,0.911,9,-6.466,1,0.0482,0.000122,0.0749,0.324,0.0414,134.997,"A","major","A major",4,"Trance","#A6761D"
"1WnpxaruwWn6wKTgLitYO1","Velvet Tread",34,"2024-03-29",280615,FALSE,0.536,0.704,5,-9.664,1,0.0359,0.0073,0.971,0.0841,0.12,129.984,"F","major","F major",4,"Trance","#A6761D"
"4vEBzVmIAbKSGtSMP45AuR","Dancing In The Stars (With You)",34,"2023-06-30",259130,FALSE,0.478,0.981,0,-5.14,1,0.0807,0.00276,0.0263,0.175,0.0919,137.995,"C","major","C major",4,"Trance","#A6761D"
"7dlxSY7v6Ol0jEhS9qTFMh","Endless Euphoria",34,"2023-06-02",204347,FALSE,0.454,0.988,11,-4.872,0,0.0445,8.62e-05,0.871,0.122,0.15,137.98,"B","minor","B minor",4,"Trance","#A6761D"
"0LbBiwDlzTjncvdkaz4UEh","Home",33,"2023-11-17",231904,FALSE,0.679,0.842,6,-8.504,0,0.0382,0.00631,0.365,0.154,0.0367,125.985,"F#","minor","F# minor",4,"Trance","#A6761D"
"3c42Rmh1Tu8IkSY3TY6YJt","Pendulum",33,"2024-03-15",213777,FALSE,0.417,0.964,7,-7.25,1,0.0436,9.24e-05,0.862,0.152,0.0397,134.969,"G","major","G major",3,"Trance","#A6761D"
"6L20m3aZDpSqnimtOk1tRj","Haunted",33,"2023-08-18",207000,FALSE,0.477,0.965,9,-6.042,1,0.0703,0.000214,0.0794,0.317,0.0662,130.003,"A","major","A major",4,"Trance","#A6761D"
"0xfcqMqf1yYNbOf0pw5LE1","Storm",33,"2023-06-29",169014,FALSE,0.499,0.939,7,-5.036,0,0.0579,6.46e-05,0.952,0.324,0.351,142.002,"G","minor","G minor",4,"Trance","#A6761D"
"4mKV2PUwOBunCjDEAKGmjO","Only You",33,"2023-09-29",219130,FALSE,0.509,0.989,2,-7.445,1,0.04,0.00192,0.79,0.111,0.494,137.979,"D","major","D major",4,"Trance","#A6761D"
"0JkKlMPyrl9hHEq8OwUMS5","Mantra",33,"2023-07-14",228923,FALSE,0.203,0.978,3,-5.993,0,0.0727,0.00332,0.808,0.323,0.0378,97.648,"D#","minor","D# minor",3,"Trance","#A6761D"
"3DGlzGu8B8YE0Eklb4QIdG","Love Loud",33,"2024-03-01",174720,FALSE,0.508,0.952,0,-6.76,1,0.0406,0.00406,0.894,0.117,0.036,124.967,"C","major","C major",4,"Trance","#A6761D"
"3619qKPkLiI4QVTSFSAXGt","Wandering Heart",33,"2023-05-12",162187,FALSE,0.496,0.857,0,-5.876,0,0.0459,0.0158,0.00093,0.172,0.281,127.922,"C","minor","C minor",4,"Trance","#A6761D"
"1NMLUxMIOdfH5ZwSJEVDMs","Euphoria",33,"2023-09-22",208695,FALSE,0.495,0.992,8,-4.646,0,0.0453,0.00031,0.802,0.125,0.353,137.992,"G#","minor","G# minor",4,"Trance","#A6761D"
"01fXsZUFvPdAy3dW2lly1f","Radiant",33,"2023-11-24",211374,FALSE,0.56,0.876,10,-5.848,0,0.0452,0.00272,0.33,0.304,0.258,126.009,"A#","minor","A# minor",4,"Trance","#A6761D"
"3kqGoIAQ7frSr0vHGjSIYC","All Alone",33,"2023-07-07",232482,FALSE,0.495,0.984,7,-7.468,1,0.12,0.000283,0.289,0.24,0.0715,137.959,"G","major","G major",4,"Trance","#A6761D"
"7MTg6uURum6LUw7O3mAd9K","You're Never Alone - Uplifting Mix",33,"2023-06-09",239998,FALSE,0.485,0.93,4,-6.985,1,0.0481,0.00328,0.0362,0.321,0.0721,137.952,"E","major","E major",4,"Trance","#A6761D"
"37bZneyU8dqpl2TAiSe0pw","Breathing",33,"2023-05-19",192755,FALSE,0.56,0.791,6,-8.561,0,0.0395,0.00118,0.669,0.217,0.155,127.01,"F#","minor","F# minor",4,"Trance","#A6761D"
"4Bfpl39pwLWVFXdiv16sPX","U",33,"2024-03-15",214460,FALSE,0.529,0.922,5,-4.174,1,0.0379,0.0177,0.702,0.542,0.499,124.984,"F","major","F major",4,"Trance","#A6761D"
"2sHBTTqliG9FmM1mu5fdNC","Reach Out For Me - Alex M.O.R.P.H. Remix",33,"2023-12-08",177782,FALSE,0.495,0.954,0,-4.491,1,0.0422,0.00101,0.149,0.501,0.191,134.999,"C","major","C major",4,"Trance","#A6761D"
"6doOylSL3c6XYWWgNyVwT8","Pendulum (GDJB Weekly Drive 7)",33,"2023-11-16",242666,FALSE,0.605,0.606,6,-10.533,0,0.0455,0.000141,0.893,0.374,0.15,134.993,"F#","minor","F# minor",4,"Trance","#A6761D"
"3c6M5w7F9CrlCINaUZ4aOm","Invincible",33,"2023-07-07",159374,FALSE,0.552,0.957,7,-4.946,1,0.0323,0.00015,0.00532,0.262,0.221,128.061,"G","major","G major",4,"Trance","#A6761D"
"3kPNJtqNu4k9bQtATQQsQN","Spicy Broth - Streaming Edit",33,"2023-05-19",280434,FALSE,0.533,0.981,6,-6.537,1,0.0424,0.000474,0.868,0.166,0.195,137.974,"F#","major","F# major",4,"Trance","#A6761D"
"68bVU37B5M7iWivhixMvqZ","Catch",33,"2024-01-19",200434,FALSE,0.445,0.992,10,-3.87,0,0.116,0.00516,0.00509,0.373,0.273,137.982,"A#","minor","A# minor",4,"Trance","#A6761D"
"2XsiC7T2aYj6pZ2OjUWvlk","Echoes",33,"2024-02-16",209974,FALSE,0.562,0.839,6,-6.712,0,0.0399,0.0121,0.576,0.356,0.204,125.995,"F#","minor","F# minor",4,"Trance","#A6761D"
"3O1YUsg20oMgQtoLautPwM","The Way It Goes",33,"2023-07-14",227232,FALSE,0.453,0.875,6,-7.275,0,0.0396,0.000256,0.557,0.191,0.0631,126,"F#","minor","F# minor",4,"Trance","#A6761D"
"4P64WuBJEjSwyAnM3II9zh","Soul Theory",33,"2023-05-26",177000,FALSE,0.589,0.935,3,-4.65,1,0.0593,0.000155,0.88,0.109,0.346,140.013,"D#","major","D# major",4,"Trance","#A6761D"
"0Qdrt4scL06gfBy2jNnXqB","Keep Running",9,"2024-05-10",210000,FALSE,0.598,0.976,7,-8.243,1,0.0563,0.00389,0.886,0.0807,0.0793,125.964,"G","major","G major",4,"Trance","#A6761D"
"6EfCZu8Az3CCzNVRTXbcyf","Don't Give Up",32,"2023-08-11",221469,FALSE,0.442,0.968,0,-6.316,0,0.0467,0.000752,0.873,0.38,0.209,127.982,"C","minor","C minor",4,"Trance","#A6761D"
"1Erb3tO63KSRdMgELwjrYf","Godspeed - Maria Healy Remix",32,"2023-06-23",209979,FALSE,0.462,0.98,10,-6.556,0,0.0666,0.000729,0.758,0.203,0.444,139.007,"A#","minor","A# minor",4,"Trance","#A6761D"
"1viuOuVuZ6Q4BmlMYi9SDm","Minuetto",32,"2023-06-30",218712,FALSE,0.545,0.994,7,-3.224,1,0.0413,0.0132,0.844,0.215,0.532,134.977,"G","major","G major",4,"Trance","#A6761D"
"6pCPpsRjMvZsZC85bwH1u0","Falling Free",32,"2024-04-05",242250,FALSE,0.605,0.972,10,-3.078,0,0.0359,0.00958,0.118,0.311,0.237,127.963,"A#","minor","A# minor",4,"Trance","#A6761D"
"6qWyL3wlqjxUbNhwcvlmcG","Elements",32,"2023-09-22",221584,FALSE,0.506,0.975,1,-6.398,0,0.0446,0.000285,0.83,0.0403,0.115,125.993,"C#","minor","C# minor",4,"Trance","#A6761D"
"3OVD8RzPMi9TiNOGisbFvh","The Hardest Thing",32,"2024-04-05",174276,FALSE,0.515,0.988,1,-4.902,1,0.13,0.00168,0.249,0.0946,0.194,138.15,"C#","major","C# major",4,"Trance","#A6761D"
"0TiVU57eLZRUkc89b51e8m","Satellite - Above & Beyond's 2023 Progressive Mix",32,"2023-11-16",174439,FALSE,0.581,0.894,9,-5.835,0,0.0408,0.00545,0.292,0.292,0.381,127.992,"A","minor","A minor",4,"Trance","#A6761D"
"1TJsxoJte19MgSzGSsIM3h","Meet Again",32,"2023-08-25",190009,FALSE,0.425,0.983,11,-6.108,0,0.0579,0.00741,0.905,0.288,0.405,137.986,"B","minor","B minor",4,"Trance","#A6761D"
"2gwmzjBRPv1ElKevOdp3Ld","Infinity",32,"2023-07-07",247488,FALSE,0.653,0.927,5,-7.774,1,0.0597,0.00254,0.428,0.0818,0.098,123.984,"F","major","F major",4,"Trance","#A6761D"
"3GQ0DStEyr87WqgpZ0vNw2","Riverside",32,"2023-09-08",232942,FALSE,0.502,0.985,1,-8.405,0,0.0562,0.00079,0.73,0.459,0.306,140.009,"C#","minor","C# minor",4,"Trance","#A6761D"
"7EXXoQej0WP3pdvrjYcDJk","Breathless",32,"2023-08-25",205634,FALSE,0.524,0.941,7,-4.57,0,0.0459,0.0125,0.144,0.154,0.0692,134.008,"G","minor","G minor",4,"Trance","#A6761D"
"4DRmet0zFQ4dzQzHRqYbZI","Away From You",32,"2023-10-27",234000,FALSE,0.503,0.87,6,-5.853,0,0.0359,0.00144,0.0208,0.159,0.0775,123.983,"F#","minor","F# minor",4,"Trance","#A6761D"
"5iZaCFdm1VVfBuaR82u8mX","Changes",32,"2023-06-02",170625,FALSE,0.627,0.803,6,-4.912,0,0.0354,0.0581,0.000198,0.0508,0.392,128.008,"F#","minor","F# minor",4,"Trance","#A6761D"
"6hdMOc0lpUN8fvVLNQVyDa","No Borders",32,"2023-11-17",245238,FALSE,0.504,0.931,5,-7.626,0,0.0337,0.0153,0.886,0.365,0.0731,125.997,"F","minor","F minor",4,"Trance","#A6761D"
"6EshijssDrfMJKXbztdI4w","Black Heart - Sunny Lax Remix",32,"2023-07-07",213120,FALSE,0.539,0.917,6,-7.153,0,0.0366,0.0013,0.79,0.175,0.0383,125.013,"F#","minor","F# minor",4,"Trance","#A6761D"
"5GXT1Qz6oMmvJalrPntZ4b","Do You Want Me",32,"2023-09-15",236223,FALSE,0.493,0.908,0,-5.753,1,0.0545,0.00016,0.222,0.339,0.151,128.017,"C","major","C major",4,"Trance","#A6761D"
"2Pl1Uup5LeTpWcVYwo87he","Ardora",32,"2024-01-26",192840,FALSE,0.176,0.869,7,-5.762,1,0.0476,0.0173,0.923,0.28,0.138,82.785,"G","major","G major",4,"Trance","#A6761D"
"0suq6pekpVWxP5OqcjhtbQ","Campos Eliseos",32,"2023-09-08",201739,FALSE,0.375,0.96,9,-5.256,0,0.041,0.00079,0.925,0.146,0.236,138.015,"A","minor","A minor",4,"Trance","#A6761D"
"0OO4gJdvGDN5a6WLioUObV","Come Alive",32,"2023-12-15",129565,FALSE,0.63,0.689,7,-9.217,0,0.0409,0.000955,0.0291,0.206,0.196,137.974,"G","minor","G minor",4,"Trance","#A6761D"
"6ttxvrDLx2B9v38AFZt9aE","Solar Express",32,"2023-06-23",237000,FALSE,0.575,0.963,7,-7.038,1,0.0521,0.00485,0.856,0.0772,0.0752,140.009,"G","major","G major",4,"Trance","#A6761D"
"6gxnKjrOtc3CRciJbfJWwY","Save Me - John Askew Remix",32,"2024-01-19",229714,FALSE,0.391,0.99,10,-4.214,0,0.137,0.0194,0.344,0.34,0.0627,140.006,"A#","minor","A# minor",4,"Trance","#A6761D"
